job,salary,company
Java,30-50K,支付宝
Java,10-15K,宇信科技
Java,16-25K,乐视
Java,20-40K,阿里健康
java,14-18K,软通动力
中级JAVA,20-35K,有利网
Java,6-10K,中科软科技
Java,15-30K,VIPKID
JAVA,15-30K,百度
Java,10-16K,国通合众
java,13-14K,软通动力
Java,13-18K,柯莱特集团
Java,30-60K,美团网
Java,8-15K,中科软
java,13-16K·13薪,北京勤实信息
Java,15-30K,品友互动
Java工程师,25-50K,Boss直聘
Java,13-16K,君凯电子科技有限公司
Java,13-23K,东华博雅
Java,9-11K,宇信科技
高级Java工程师,15-20K,京北方
Java,15-25K,天神娱乐
Java,11-17K,宇信科技
Java,25-50K,蚂蚁金服
Java,25-30K,旷视MEGVII
Java,10-15K,软通动力
Java,12-24K,蓝凌软件
Java,25-50K,支付宝
java工程师,20-40K,阿里巴巴集团
Java,8-15K,东信北邮
产品编辑,6-8K·13薪,中国知网
编辑,5-8K,健力源餐饮
文案编辑,6-10K,黛美国际医疗整形
编辑,8-13K,人民网
文案编辑,6-9K,壹元服务
网站编辑,6-8K,东易日盛
编辑,12-18K,时代周报
体育编辑,4-8K,疯狂体育
编辑,8-13K,闻视频
网站编辑,5-8K,华图教育
编辑,8-13K,北京三月雨
美食编辑,8-12K,震惊文化
文案编辑,5-10K,富元星达建筑
政治编辑,6-8K,曲一线
游戏视频广告创意制作,15-25K,猎豹移动
地图数据编辑,10-15K,魔门塔科技
光学 电子 学术编辑,9-12K,曼迪匹艾
图书版式编辑,7-9K,好未来
财经编辑,5-8K,中方信富
网站编辑,5-6K,掘金企服
高级编辑,10-15K,伍叁零传播
汽车销售经理,15-30K,阳光奥达汽车
广告创意文案,16-22K·13薪,省广博报堂北京分公司
广告创意,8-13K,纵横视线
广告创意,8-10K,上海观池
广告创意,10-15K,北京有马动漫
广告创意,20-30K,潞茗思悦
广告创意,1-3K,三人行
广告创意,12-18K,北京思锐品牌咨询机构
广告创意,8-9K,新势瀚海
广告创意,5-8K,前港优美餐饮管理
广告创意,6-11K,简创意空间
广告创意,8-13K,一颗文化
广告创意,8-15K,理想国文化传媒
投资经理,6-11K,北京华玺财富
教务管理,10-12K,京翰教育
投资总监,10-20K,源石财富
编辑,5-8K,今日教育集团
兼职编辑,3-6K,圣才电子书
资深编辑,11-20K,趣智阿尔法
课程设计,15-30K·13薪,聪明核桃教育
汽车销售,10-15K,波士瑞达
汽车销售,6-11K,庆红房车汇
汽车销售,15-30K,车网天下
汽车销售,10-20K,天朔集团
汽车销售,3-6K,北京迈西卡科技
汽车销售,2-7K,联发志成汽车4s店
汽车销售,10-20K,悦泽诚基
广告创意,10-20K,简壹影业
广告创意,15-30K,映天下
广告创意,6-10K,亚狮传媒
广告创意,7-12K,中微互动(广告营销)
广告创意,10-12K,和丰创意
广告创意文案,10-20K,光和影
海外视频广告创意策划师,25-50K,FunPlus
短视频广告创意策划,9-14K,蓝标传媒
广告创意,6-12K,简创意空间
风控算法专家,40-70K,微店
投资经理,10-15K,源石财富
投资经理,10-15K,源石财富
投资经理,15-25K,天九共享孵化集团
投资经理,15-30K,品今控股集团
投资经理,10-11K,HD
教务管理,4-5K,北京龙举云兴教育公司
教务管理,9-13K,学霸君
教务管理,5-7K,美吉姆
教务管理老师,4-5K,水木京华
教务管理,6-8K,中公教育
投资总监,10-15K,汇中财富
投资总监,20-40K,瑞达环球
投资总监,15-20K,欧笙国际投资
投资总监,18-26K,方创资本
英语编辑,6-8K,曲一线
场景编辑,18-25K,天马时空
策划编辑,7-11K·13薪,中国知网
科技编辑,12-16K,搜狐媒体
电子书编辑,4-6K,圣才电子书
评测编辑,12-20K,百宝新媒体
编辑部主任,10-15K,紫图图书
汽车维修,5-7K,尊沃行
课程设计,6-8K,SIA艺术教育
课程设计,10-20K,VIPKID
课程设计,8-15K,育铭天下科技
课程设计,15-30K,云学堂
课程设计 (MJ000008),13-26K·13薪,聪明核桃教育
课程设计,5-8K,德莫特尔
英语课程设计,15-25K,洋葱数学
理科课程设计,10-20K,洋葱数学
资深文案,8-12K,万门教育
汽车销售,15-20K,龙鹏伟业
汽车销售,6-11K,卡盟网
汽车销售,5-10K,翔宇星驰
汽车销售,10-15K,顺天隆恩
汽车销售,10-15K,旗鹏新能源汽车
新能源汽车销售,12-13K,天朔集团
汽车销售,8-13K,北京荣兴行
汽车销售前台,4-6K,兴奥晟通
汽车销售课程开发讲师,8-12K,德莫特尔
广告创意短视频编导,8-13K,核桃林传媒
广告创意,6-10K,录客传媒
商业短视频广告创意策划,10-15K,光合尚映
广告创意,10-15K,舜风国际
风控,10-18K,平安普惠
风控算法工程师,20-40K,今日头条
风控策略-高级开发工程师,30-50K,美菜网
风控产品经理,25-50K·14薪,京东数字科技
投资经理,6-11K,北京源石财富有限公司
投资经理,15-26K,北京华玺财富
投资经理,6-12K,华盛天下资本
投资经理,10-15K,英锟影业
投资经理助理,8-15K,品今投资基金
投资经理,6-11K,竟合致远
投资经理,9-12K,中国中投证券有限...
高级投资经理,6-11K,华福证券
投资经理,10-15K,清朋华友
教务管理,5-7K,首冠教育科技
教务管理,7-10K,文新学堂
班主任/教务管理,10-20K,海风教育
教务管理,6-7K,北纬森教育
教务管理,7-12K,学堂在线
教务管理,6-12K,京尚书教育
教务管理,6-8K,跟谁学
教务管理,5-8K,京翰教育
教务管理,6-12K,学大教育
教务管理,8-12K,学堂在线
教务管理,5-7K,乐思来儿童科技教育
投资总监,10-20K,利得金融集团
投资总监 (MJ000829),30-60K,天九共享孵化集团
投资总监,10-15K,国商联盟资本
投资总监 (MJ000689),30-50K,天九共享孵化集团
投资总监,15-20K,资本汇
人力资源专员/助理,6-11K,中国平安
销售经理,12-24K,中工信融
销售专员,15-30K,58到家
市场推广专员,5-10K,北京英孚教育
CEO/总裁/总经理,10-20K,嘉美东方
财务管理顾问,8-11K,用友北京分公司
汽车维修,4-7K,华益德泓汽车
汽车维修,6-11K,易车生活
汽车维修学徒,1-2K,新孚美
汽车维修,6-11K,易车生活
汽车维修经理/主管,8-13K,GoFun出行
汽修技术总监,13-25K,途虎养车
汽车维修,8-12K,鑫奥通
汽车维修,6-8K,北京金星众捷汽车
汽车维修技师,6-11K,易车生活
汽车维修,3-8K,尊沃行
汽车维修,5-8K,凯鑫通
汽车维修技师,6-11K,易车生活
汽车维修技师,10-11K,易车生活
在线课程设计,6-12K,弘远博学
课程设计,15-20K,微语言
营地课程设计,15-20K·14薪,启行营地
课程设计,10-15K,中盟教育
课程设计,8-13K,唯学教育
物理课程设计,10-20K,洋葱数学
小学数学课程设计,10-20K,洋葱数学
文案策划,5-8K,珠江钢琴北京艺术之家
文案编辑,6-10K,黛美国际医疗整形
文案,5-9K,仁仁家教育
文案策划,8-10K,元通世纪
文案,8-13K·13薪,中科耀华
文案,10-15K,好利来
文案策划,6-10K,品星贸易
文案,14-20K,新意互动
文案,5-7K,北辰公寓
汽车销售经理,10-12K,闻视频
房车销售顾问汽车销售展厅销售,6-12K,汇诚鑫达房车
汽车销售,2-7K,亿晟辉
汽车销售,12-20K,悦泽诚基
汽车销售,6-11K,车置宝
汽车销售,6-8K,通银付
弹个车汽车销售,5-10K,车易得
汽车销售,15-30K,圣承方略
销售顾问,9-13K,北京联购汽车有限公司
投资顾问,10-11K,天朔集团
销售专员,10-15K,天朔集团
市场营销,9-14K,中国平安
广告创意,15-25K,北京中视北方影视
广告创意,10-15K,北京思锐品牌咨询机构
广告创意,4-8K,北京中艺装饰
广告创意设计师,15-30K·14薪,竞技世界
行政主管,5-8K,中国平安综合金融
风控模型专家,25-40K,金山办公软件
高级风控产品经理,15-30K,百度
风控算法,30-50K·15薪,360金融
风控平台开发,20-30K·15薪,闪送
策略/算法专家（风控/反作弊）,40-70K,奇虎360
风控产品经理,20-30K,易到用车
投资经理,13-26K,资利
投资经理（文旅）,12-20K,瑞熙基金
投资经理,10-15K,和信财富
投资经理,7-14K,北京寅丰联网络
投资经理,4-6K,和谐众生
投资经理/总监,10-15K,美天科技
战略投资经理,40-70K·13薪,九瑞健康
投资经理,4-5K,华信金融
投资经理,8-11K,中国中投证券有限...
教务管理,5-8K,唯美舞动
教务管理,5-10K,至慧学堂
教务管理（产品服务方向）,5-8K,中公教育
教务管理,6-8K,潇云文化
教务管理,4-7K,英旗教育
教务管理,4-9K,慧鱼音画（北京）...
教务管理,5-6K,润苗
急招教务管理,5-9K,姜杰钢琴琴城
教务管理,5-8K,清艺汇
教务管理,5-7K,创艺典
教务管理,5-7K,奥思教育
高级投资总监,10-15K,方富天元
投资总监助理,8-12K,品今(北京)基金
投资总监 (MJ000784),30-60K,天九共享孵化集团
投资总监,10-11K,资本汇
投资总监,100-110K,天九共享孵化集团
战略投资总监,10-15K·24薪,财金通
投资总监,20-30K,天九共享孵化集团
投资总监,10-20K,金牡丹环球嘉年华
投资总监,20-35K,中科创星
投资总监,20-40K,大件会
投资总监,12-15K,安迪夫
人事专员/助理,5-9K,中国平安
人力资源专员/助理,7-12K,中国平安综合金融集团
人力资源专员/助理,8-12K,中国平安
人力资源专员/助理,6-8K,汇合发展
人力资源专员/助理,4-6K,源石财富
人力资源专员/助理,5-6K,北京盛世物业公司
人力资源专员/助理,4-8K,中国平安集团
人事助理专员,3-6K,中国人寿
人力资源助理/专员(实习),4-8K,泛微网络
人力资源专员/助理,4-6K,北京精锐教育
销售经理,10-15K,天朔集团
销售经理,11-20K,缤纷鸟
销售经理,30-50K,中信保诚
销售经理,10-12K,Lianjia.链家
销售经理,8-13K,中国平安综合金融集团
销售专员,4-8K,北京链家
销售代表,5-10K,捷信消费金融有限公司
销售专员,7-8K,领先未来
销售专员,8-9K·15薪,中信银行信用卡(北京)
销售专员,5-10K,鹏博士集团
销售专员,15-20K,创创股份
销售专员,15-25K,北京链家
市场推广顾问,6-10K,华尔街英语
市场推广经理,9-14K,美因基因
市场推广,8-13K,伊电园
市场推广,6-8K,北京英孚教育
市场推广,4-8K,美联英语
市场推广,8-12K,聚能教育有限公司
市场推广,5-10K,纽约国际儿童俱乐部
市场推广,5-10K,文都教育
副总经理/副总裁/执行CEO,18-25K,德道体育
CEO/总裁/总经理,20-40K,中惠元景
CEO/总裁/总经理,15-30K,壹玖壹玖
财务顾问,15-20K,翌能
实施顾问（财务）,8-13K,鼎捷软件
实施顾问（财务软件）,10-15K·14薪,远光软件
实施顾问（财务方向）,8-10K,北方科诚
实施顾问（财务/供应链）,8-13K,用友网络
高级实施顾问（财务方向）,15-25K,远光软件
助理预算顾问（财务&ERP经验）,5-10K,鑫瑞天翔
SAP财务顾问,10-15K,思创宏拓
汽车维修,5-8K,中润信和
汽车维修技师,5-7K·13薪,爱驰义汽车
汽修技师,4-7K,中汽恒泰
汽车维修,4-8K,鑫奥通
汽车维修,4-8K,鑫奥通
汽车维修,6-8K,京龙博派
汽车维修技师,5-8K,易车生活
汽车维修,6-10K,鑫奥通
汽车维修,10-15K,博瑞恒通
课程设计,12-24K,嘉宾传媒
课程设计（scratch/python）,20-30K·13薪,WeCode
课程设计,15-30K,聪明核桃教育
高中数学课程设计,12-20K·13薪,洋葱数学
课程设计,8-12K,麦思顿国际
课程设计,6-10K,易知信息
小学数学课程设计（校招）,10-15K·13薪,洋葱数学
课程设计,16-28K,外教易
化学课程设计,11-20K,洋葱数学
电商文案,6-10K,北京格力电器
课程文案,8-12K,万门教育
文案策划,8-13K,航天十二院
文案策划,8-15K,跟谁学
资深文案策划,8-12K,天月羲和文化传播
文案策划,6-12K,北京美天
文案策划,6-8K·13薪,中国知网
销售顾问,8-12K,天朔集团
实习生,4-6K,天朔集团
市场营销,8-10K,中国人寿
市场营销,10-15K,时代文仪
市场营销,20-30K,中国人寿
市场营销,5-10K,远行地产
市场营销,10-12K,品今控股
市场营销,10-15K,北京丽兹行
市场营销,12-20K,招商银行信用卡中心
市场营销,15-30K,中国人寿
市场营销,8-16K,欧美思
行政主管,6-12K,大都会人寿
行政主管,8-10K,中国平安人寿保险
行政主管,8-10K,中国平安综合金融集团
行政后勤主管,8-10K,纳通医疗集团
行政主管,4-5K,比如世界
行政主管,6-8K,深圳丝路
行政主管,5-7K,美菜网
行政主管,6-8K,鸿图科华商贸
行政主管,6-8K·13薪,心美大
风控-高级Java开发工程师,20-40K,美菜网
风控,8-15K,鸿泰鼎石资产管理
风控,7-12K,平安普惠
风控建模,25-35K·14薪,中和农信
风控产品经理,15-25K,GEO集奥聚合
风控,5-8K,友信
投资经理,10-20K,四正投资
投资经理,15-30K,野马基金
投资经理,11-20K,kisslink
教务管理,10-15K,龙门尚学
教务管理,5-8K,北京金学郎教育
高级法学专业投资总监,13-15K,方富天元
投资总监,20-40K,微尚创客
投资总监,10-15K,琰旭基金
投资总监,10-15K,茂源蓝天
投资总监,10-20K,九鼎鸿艺集团
投资总监,10-20K,紫荆花众创基地
人力资源专员/助理,5-8K,中国平安综合金融集团
人力资源专员/助理,3-8K,北京源石财富
人事助理专员,8-13K,中国平安
人事专员/助理,4-6K,威远保安
人事专员/助理,7-9K,中国平安综合金融集团
人力资源专员/助理,5-7K,轻创知识产权代理
销售经理,15-30K,北京美年大健康
销售经理,10-15K,中国人寿
销售经理,10-12K,Lianjia.链家
销售经理,10-15K,中国人寿
销售经理,9-13K,北京麦田房产
销售经理,6-10K,我爱我家
销售经理,9-18K,平安银行信用卡中心
销售经理,10-15K,普信恒业
销售经理,18-36K,华夏人寿
销售经理,16-30K,神州信息
西站高薪销售代表,12-20K,中诚致贷
销售专员,10-20K,中国平安
销售专员,20-30K,中国人寿
销售专员,10-15K,交通银行
销售专员,8-16K,中国平安
销售专员,8-16K,中国平安综合金融集团
市场推广专员,5-8K,顺丰速运
市场推广,7-12K,北京英孚教育
市场推广,5-10K,汉普森英语
市场推广顾问,5-10K,北京英孚教育
市场推广,15-30K,平安普惠苏州街分公司
市场推广,6-8K,锋安教育
总裁/总经理/董事长助理,6-7K,精选餐饮
总裁/总经理/董事长助理,10-15K,名品彩叶
副总裁/副总经理,20-40K·16薪,冠新软件
总裁/总经理/董事长助理,10-15K,鹿鼎策划
财务咨询顾问,11-20K,天职国际会计师事务所
财务实施顾问,18-35K,小米
ERP实施顾问（集团财务、制造业方向）,6-11K,浪潮云ERP
SAP财务顾问,10-15K,思创宏拓
SAP顾问（财务）,8-13K,思创宏拓
财务规划顾问,8-13K,源石财富
财务顾问,6-9K,小微律政
汽修教师,5-8K,北京万通汽车学校
汽车维修技师,7-8K·13薪,力众华援
汽车维修,3-4K,鑫奥通
汽车维修技师,8-10K,大通佳信
汽车维修,3-8K,荒原路华汽车服务
汽车维修,3-8K,安惠养车
少儿英语课程设计,15-25K,鲸鱼外教培优
Scratch课程设计,20-30K·13薪,WeCode
课程设计,10-15K,正己基业
汽车科技课程设计经理,8-13K,智东西
英语课程设计,15-22K·13薪,洋葱数学
文案策划专员,9-14K·14薪,我爱我家
文案策划,10-15K,青华园教育
文案策划,6-8K,北京巨龙伟业
文案策划,6-12K,马哥教育
文案策划,8-13K,姿美堂
文案策划,4-8K,藤门国际教育
资深产品运营,20-35K,爱奇艺
产品总监,50-80K,好未来
